tri_facility_id,Facility,City/State,Total releases (lbs),Fugitive air (lbs),Stack air (lbs),Water (lbs),Primary Activity
00656DCRBNBOMAG,Prepa - South Coast Power Plan T,"Guayanilla, Puerto Rico",31,0,31,0,Fossil Fuel Electric Power Generation
00733PRTRCPUBLI,Cemex De Puerto Rico Inc,"Ponce, Puerto Rico",10,0,10,0,Cement Manufacturing
00751PRPGRPRO3K,Prepa - Aguirre Power Generati On Complex,"Aguirre, Puerto Rico",38,0,37,0,Fossil Fuel Electric Power Generation
00785SPRTRKM142,Aes Puerto Rico Lp,"Guayama, Puerto Rico",214,0,172,0,Fossil Fuel Electric Power Generation
00851HSSLVLIMET,Hovensa Llc,"Christiansted, Virgin Islands",53,0,4,0,Petroleum Refineries
00920PRPSNMERCA,Prepa - San Juan Steam Plant,"Puerto Nuevo, Puerto Rico",32,0,25,0,Fossil Fuel Electric Power Generation
00936SNJNCKM267,Essroc San Juan Inc,"Dorado, Puerto Rico",6,0,6,0,Cement Manufacturing
00950PRPPLPR165,Prepa - Palo Seco Steam Plant,"Toa Baja, Puerto Rico",31,0,28,0,Fossil Fuel Electric Power Generation
00985CRTSNSTATE,Curtis Instruments (Pr) Inc,"Carolina, Puerto Rico",6,0,6,0,Printed Circuit Assembly (Electronic Assembly) Manufacturing
01040MTTMSRTE5S,Mount Tom Generating Co Llc,"Holyoke, Massachusetts",27,0,2,0,Fossil Fuel Electric Power Generation
0183WJHNSN3BNDS,Johnson Matthey Catalog Co Inc,"Ward Hill, Massachusetts",3,0,0,0,Other Chemical and Allied Products Merchant Wholesalers
01970SGNNW24FOR,Dominion Energy Salem Harbor S Tation,"Salem, Massachusetts",19,0,7,0,Fossil Fuel Electric Power Generation
02038DYNSC38FOR,Dynisco Instruments,"Franklin, Massachusetts",15,0,0,0,Other Measuring and Controlling Device Manufacturing
02072SPRRS230CA,Veolia Es Technical Solutions Llc,"Stoughton, Massachusetts",12,0,7,0,Hazardous Waste Treatment and Disposal
02173HNYWL2FORB,Bae Systems - Information & El Ectronic Systems Integration,"Lexington, Massachusetts",7,0,0,0,Other Electronic Component Manufacturing
02726SGNNWBRAYT,Dominion Energy Brayton Point Llc,"Somerset, Massachusetts",64,0,45,1,Fossil Fuel Electric Power Generation
03103GTPRD655SW,Osram Sylvania Inc,"Manchester, New Hampshire",75,8,1,0,Electric Lamp Bulb and Part Manufacturing
03304PBLCS97RIV,Merrimack Station,"Bow, New Hampshire",262,0,181,0,Fossil Fuel Electric Power Generation
03801PBLCSGOSLI,Schiller Station,"Portsmouth, New Hampshire",13,0,12,0,Fossil Fuel Electric Power Generation
03820RSLNC1WASH,Uraseal Inc,"Dover, New Hampshire",6,0,0,0,All Other Plastics Product Manufacturing
04092SDWRR89CUM,S D Warren Co,"Westbrook, Maine",17,0,1,0,Paper (except Newsprint) Mills
04239NTRNTRILEY,Verso Paper Holdings Llc,"Jay, Maine",6,0,4,1,Pulp Mills
04276BSCSCROUTE,Rumford Paper Co,"Rumford, Maine",19,0,7,0,Paper (except Newsprint) Mills
04861DRGNPUSROU,Dragon Products Co,"Thomaston, Maine",21,0,21,0,Cement Manufacturing
